timestep,agent_id,community_id,centrality,d0,d1,d2,d3,d4,d5
100,34,0,0.75,0.192474,0.492692,0.373515,0.317178,0.368277,0.449881
100,35,0,0.625,0.637385,0.301041,0.504595,0.427375,0.450849,0.650414
100,36,0,0.75,0.580717,0.70061,0.476824,0.395609,0.466421,0.536375
100,37,0,0.75,0.526486,0.337342,0.513573,0.534234,0.877621,0.781527
100,38,0,0.5,0.372013,0.456892,0.280484,0.411394,0.547341,0.680878
100,39,0,0.875,0.390637,0.401878,0.177907,0.4756,0.340638,0.420584
100,40,0,0.625,0.368471,0.485861,0.236341,0.279943,0.819387,0.306887
100,41,0,0.75,0.335482,0.775537,0.93576,0.324265,0.444763,0.551233
100,42,0,0.625,0.759305,0.351971,0.463208,0.616601,0.565215,0.443577
100,43,0,0.75,0.479927,0.293766,0.464274,0.460042,0.534825,0.416701
100,44,0,0.75,0.570731,0.651907,0.523314,0.552763,0.507973,0.500013
100,45,0,0.625,0.391766,0.547474,0.485407,0.813975,0.736003,0.557877
100,46,0,0.75,0.385541,0.333138,0.678671,0.539412,0.572022,0.238312
100,47,0,0.875,0.639116,0.568163,0.333435,0.429271,0.539558,0.50787
100,48,0,0.875,0.456174,0.484477,0.462203,0.522884,0.720724,0.115001
100,49,0,0.75,0.464472,0.526477,0.544399,0.444213,0.236492,0.549199
100,50,0,0.75,0.759103,0.269921,0.629574,0.450721,0.490801,0.342065
100,51,0,0.75,0.449832,0.695007,0.587398,0.759847,0.676612,0.565863
100,52,0,0.75,0.76159,0.565849,0.624198,0.455514,0.509982,0.395386
100,53,0,0.625,0.648438,0.323254,0.617353,0.471402,0.675687,0.61263
100,54,0,0.875,0.773097,0.609616,0.264194,0.489957,0.324199,0.422258
100,55,0,0.75,0.726684,0.59563,0.39516,0.347942,0.504917,0.317516
100,56,0,0.75,0.399329,0.546801,0.673297,0.591314,0.156307,0.545655
100,57,0,0.875,0.510805,0.562084,0.742431,0.190514,0.411334,0.588636
100,58,0,0.875,0.262761,0.721392,0.555253,0.626988,0.414358,0.622065
100,59,0,0.875,0.660271,0.534932,0.53516,0.540551,0.370498,0.477871
100,60,0,0.875,0.477122,0.557509,0.649974,0.34122,0.481249,0.722218
100,61,0,0.75,0.388462,0.376662,0.530346,0.626658,0.501714,0.699344
100,62,0,0.875,0.628519,0.626273,0.583117,0.849148,0.469226,0.199472
100,63,0,0.75,0.740638,0.431345,0.516182,0.696433,0.259661,0.312253
100,64,0,0.75,0.259808,0.38088,0.565945,0.578628,0.541441,0.288085
100,65,0,0.625,0.153484,0.508153,0.429234,0.568908,0.605293,0.520736
100,66,0,0.75,0.61402,0.534382,0.57951,0.394299,0.473058,0.529516
100,67,0,0.5,0.623079,0.440939,0.578175,0.460124,0.482369,0.624428
100,68,0,0.75,0.201041,0.305529,0.277672,0.149958,0.39826,0.612415
100,69,0,0.625,0.457267,0.529669,0.663383,0.699153,0.489629,0.703038
100,70,0,0.875,0.513819,0.37439,0.41084,0.27792,0.36678,0.446297
100,71,0,0.75,0.620538,0.758115,0.292673,0.558924,0.343918,0.571205
100,72,0,0.75,0.480337,0.225364,0.639245,0.40925,0.419915,0.339537
100,73,0,0.75,0.401858,0.564184,0.471613,0.549299,0.554288,0.698099
100,74,0,0.75,0.448582,0.278471,0.660083,0.450277,0.667189,0.557507
100,75,0,0.75,0.480329,0.552316,0.792652,0.811547,0.510407,0.524029
100,76,0,0.625,0.661436,0.373151,0.549961,0.496121,0.547086,0.374995
100,77,0,0.75,0.261565,0.189052,0.332392,0.431199,0.456021,0.790585
100,78,0,0.625,0.665899,0.355686,0.552156,0.438938,0.457345,0.527799
100,79,0,0.75,0.592876,0.449111,0.659578,0.328709,0.500951,0.889651
100,80,0,0.75,0.533462,0.714982,0.513728,0.587117,0.491483,0.474439
100,81,0,0.75,0.383078,0.564545,0.372269,0.599838,0.662793,0.55498
100,82,0,0.875,0.457063,0.568095,0.453699,0.640332,0.225289,0.449659
100,83,0,0.875,0.201378,0.275741,0.704579,0.634278,0.392078,0.274624
100,84,0,0.625,0.055321,0.418476,0.863062,0.565233,0.416064,0.569762
100,85,0,0.875,0.265856,0.455401,0.514922,0.487085,0.618621,0.551697
100,86,0,0.75,0.600249,0.396744,0.634672,0.744341,0.354478,0.366846
100,87,0,0.75,0.700368,0.471298,0.710573,0.43362,0.718257,0.519723
100,88,0,0.75,0.538734,0.734708,0.445734,0.358832,0.432715,0.56785
